gene,ESR,chromosome,start,end,size,GC%,strand,ortholog code1,ortholog code2,ortholog species,expression on glucose,average log2FC,annotation
SAKL0A00198g,negative,1,19808,20776,969,39.22,1,YNR054C,ESF2,Sace,10.249586,-0.4033258,similar to uniprot|P53743 Saccharomyces cerevisiae YNR054C ESF2 Essential nucleolar protein involved in pre- 18S rRNA processing; binds to RNA and stimulates ATPase activity of Dbp8; involved in assembly of the small subunit (SSU) processome
SAKL0A00220g,negative,1,20959,22908,1950,40.63,1,YNR053C,NOG2,Sace,12.115984,-0.6721045,highly similar to uniprot|P53742 Saccharomyces cerevisiae YNR053C NOG2 Putative GTPase that associates with pre-60S ribosomal subunits in the nucleolus and is required for their nuclear export and maturation
SAKL0A00352g,negative,1,38015,39487,1473,38.15,-1,YNR051C,BRE5,Sace,10.489681,-0.4544205,"similar to uniprot|P53741 Saccharomyces cerevisiae YNR051C BRE5 Ubiquitin protease cofactor, forms deubiquitination complex with Ubp3p that coregulates anterograde and retrograde transport between the endoplasmic reticulum and Golgi compartments; null is sensitive to brefeldin A"
SAKL0A00506g,negative,1,61447,61848,402,39.55,-1,YNR046W,TRM112,Sace,11.007573,-0.4170281,highly similar to uniprot|P53738 Saccharomyces cerevisiae YNR046W TRM112 Subunit of tRNA methyltransferase (MTase) complexes in combination with Trm9p and Trm11p; subunit of complex with Mtq2p that methylates Sup45p (eRF1) in the ternary complex eRF1-eRF3- GTP; deletion confers resistance to zymocin
SAKL0A00616g,negative,1,70602,71069,468,39.53,1,YCR087C-A,YCR087C-A,Sace,9.862093,-0.6157959,similar to uniprot|P37263 Saccharomyces cerevisiae YCR087C-A  Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the nucleolus; YCR087C-A is not an essential gene
SAKL0A00924g,negative,1,98231,100150,1920,39.9,-1,YNR038W,DBP6,Sace,10.408407,-0.5428638,similar to uniprot|P53734 Saccharomyces cerevisiae YNR038W DBP6 Essential protein involved in ribosome biogenesis; putative ATP-dependent RNA helicase of the DEAD-box protein family
SAKL0A01276g,negative,1,124778,126325,1548,43.6,1,YCR072C,RSA4,Sace,11.333177,-0.6715761,"highly similar to uniprot|P25382 Saccharomyces cerevisiae YCR072C RSA4 WD-repeat protein involved in ribosome biogenesis; may interact with ribosomes; required for maturation and efficient intra-nuclear transport or pre-60S ribosomal subunits, localizes to the nucleolus"
SAKL0A01716g,negative,1,156620,157123,504,39.29,-1,YNR024W,MPP6,Sace,8.391348,-0.5978778,"weakly similar to uniprot|P53725 Saccharomyces cerevisiae YNR024W MPP6 Nuclear exosome-associated RNA binding protein; involved in surveillance of pre-rRNAs and pre-mRNAs, and the degradation of cryptic non-coding RNAs (ncRNA); copurifies with ribosomes"
SAKL0A01738g,negative,1,157360,160089,2730,39.63,1,YCR057C,PWP2,Sace,11.806921,-0.6003305,"highly similar to uniprot|P25636 Saccharomyces cerevisiae YCR057C PWP2 Conserved 90S pre-ribosomal component essential for proper endonucleolytic cleavage of the 35 S rRNA precursor at A0, A1, and A2 sites; contains eight WD-repeats; PWP2 deletion leads to defects in cell cycle and bud morphogenesis"
SAKL0A01870g,negative,1,167727,168347,621,46.22,-1,YCR051W,YCR051W,Sace,9.862107,-0.4076543,similar to uniprot|P25631 Saccharomyces cerevisiae YCR051W  Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; contains ankyrin (Ank) repeats; YCR051W is not an essential gene
SAKL0A01936g,negative,1,171486,172292,807,43.74,1,YCR047C,BUD23,Sace,10.586207,-0.4091145,"highly similar to uniprot|P25627 Saccharomyces cerevisiae YCR047C BUD23 Methyltransferase, methylates residue G1575 of 18S rRNA; required for rRNA processing and nuclear export of 40S ribosomal subunits independently of methylation activity; diploid mutant displays random budding pattern"
